column_name,column_type,dataset_count,example_datasets,definition,data_steward,status
County Designation,STRING,200,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,"Classification code for the county (e.g., A = urban)",,confluence
Advertiser,STRING,197,2024 YTD PX Revenue.csv | 2025 YTD PX Revenue - Patch | 2026 YTD Exchange Revenue - PX.csv,Name of the advertiser running the campaign,,confluence
Hardware Type,STRING,186,# Sites with RPA Creatives | [TEST] Pluto - All Revenue and Diagnostics - Py | Active Wayne IOTV without IOTV ID - Stage 1,"Media player hardware type at the site (e.g., Wayne Integrated 10)",,confluence
ID - GVR,STRING,184,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | Adam Salesforce Sites w/Backlog Field,Gilbarco Veeder-Root hardware identifier,,confluence
ID - Retailer,STRING,179,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | Adam Salesforce Sites w/Backlog Field,Retailer-assigned store/site identifier,,confluence
eCPM,DOUBLE,178,[DNU] Daily Programmatic Exchange Revenue V2 | Ad Serving - Flexible - ICS Sites - November 2024 - February 2025 MTD | adhoc.csv,Effective cost per thousand impressions (revenue / impressions * 1000),,draft
Profit,DOUBLE,173,[DNU] Daily Programmatic Exchange Revenue V2 | Ad Serving - Flexible - ICS Sites - November 2024 - February 2025 MTD | adhoc.csv,[Vistar] Gross profit in USD after revenue share and fees,,confluence
Activated Date,DATE,165,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Date the GSTV screen/site was activated and began serving content,,confluence
Retailer Account Manager,STRING,160,# Sites with RPA Creatives | Active + Temp Retailer Sites Grouped | Active Wayne IOTV without IOTV ID - Stage 1,GSTV account manager responsible for the retailer relationship,,confluence
Day,STRING,159,[DNU] Daily Programmatic Exchange Revenue V2 | Ad Serving - Flexible - ICS Sites - November 2024 - February 2025 MTD | adhoc.csv,[Vistar] Day value or day-of-week associated with the record,,draft
NETWORK,STRING,156,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Ad Ops - Site POP Score (Last 60 Days) Stage 1 | After join check,"GSTV network grouping for the site, typically aligned with retailer or operational region",,draft
DMA ID - Gbase,STRING,144,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,[GBase] DMA identifier as stored in GBase,,confluence
Unsellable,STRING,144,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Whether Inventory cannot be sold,,confluence
DATE,DATE,142,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | After join check | Atlanta Study - Analytics,Calendar date associated with the record,,draft
Spots,LONG,142,Ad Serving - Flexible - ICS Sites - November 2024 - February 2025 MTD | adhoc.csv | All GSTV - Ad Serving - Flexible - 2023/2024/2025 - Consolidated Granularity,Number of ad spots delivered,,confluence
ZIP+4,STRING,141,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Extended ZIP+4 postal code for the site location,,confluence
IO Number,STRING,139,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | After join check,Insertion Order number. Unique identifier for an advertising contract/booking,,draft
ID - Salesforce,STRING,137,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[SF: Site/Location] Internal salesforce site record ID,,confluence
Buy Type,STRING,135,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | [DNU] Daily Programmatic Exchange Revenue V2,"Ad buy classification (e.g., Programmatic, Direct)",,confluence
Legacy Site ID,LONG,131,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Historical site identifier from a previous GSTV system,,confluence
ID - Former GTVID,STRING,130,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,"Previous GSTV site identifier, retained for historical reference",,confluence
Retailer ID - Gbase,STRING,128,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,[GBase] GBase retailer identifier,,confluence
Brand - Restaurant,STRING,126,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Restaurant brand co-located at the property (if applicable),,confluence
Daily Transactions,LONG,126,4 digit sites | 5 digit sites | After join check,"Average number of daily fuel transactions at the site, used for audience/impression estimation",,draft
Doing Business As,STRING,124,# Sites with RPA Creatives | Accounts | Active Site List (TPP),Legal 'Doing Business As' name for the gas station location,,confluence
Site Name,STRING,119,# Sites with RPA Creatives | 2024-01 - DXPromote Proof Of Play Delay Analysis - Part 1 | Active Wayne IOTV without IOTV ID - Stage 1,Name identifier for the site location,,confluence
Year,LONG,119,4 digit sites | 5 digit sites | Assembler Duplicate PartitionKey,[Comscore] Calendar year associated with the record,,draft
ID_GBASE,STRING,119,[V-RAP-AND-DE] Development - Traffic Instructions | [V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Ad Ops - Site POP Score (Last 60 Days) Stage 1,[Comscore] Site identifier from GBase (alternate format of 'ID — GBase'). GSTV's internal location database,,draft
Dispenser Count,DOUBLE,115,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Number of fuel dispensers with media screens at the site,,confluence
Screen Count,DOUBLE,113,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Number of media screens at the site,,confluence
Week Ending,DATE,113,"4 digit sites | 5 digit sites | All Networks - Transactions - Weekly - Current, WoW, and YoY",Week-ending date representing the 7-day period for the metrics,,confluence
Monthly Impressions,DOUBLE,110,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Estimated monthly impressions at the site,,confluence
ID - Brand,STRING,106,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | Adam Salesforce Sites w/Backlog Field,Internal brand identifier,,confluence
_BATCH_ID_,LONG,104,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | Ad Ops - Campaigns - Launch Monitoring,[Domo] Internal batch identifier for data ingestion tracking,,draft
Dispenser Model,STRING,102,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,"Model of the fuel dispenser hardware (e.g., Ovation2)",,confluence
Dispenser Make,STRING,101,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,"Manufacturer/brand of the fuel dispenser hardware (e.g., Wayne, Gilbarco)",,confluence
HourCount01,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 1:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount02,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 2:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount03,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 3:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount04,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 4:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount05,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 5:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount06,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 6:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount07,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 7:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount08,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 8:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount09,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 9:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount10,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 10:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount11,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 11:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount12,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 12:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount13,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 13:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount14,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 14:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount15,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 15:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount16,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 16:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount17,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 17:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount18,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 18:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount19,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 19:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount20,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 20:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount21,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 21:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount22,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 22:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount23,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 23:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
HourCount24,LONG,101,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Transaction count for hour 24:00 (24-hour format). Used for hourly traffic analysis at fuel dispensers,,draft
_FILE_NAME_,STRING,101,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | Ad Ops - Campaigns - Launch Monitoring,[Domo] Original filename of the uploaded data source,,draft
_DOWNLOAD_EMAIL_,STRING,100,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | Ad Ops - Campaigns - Launch Monitoring,[Domo] Email address associated with the data download or upload,,draft
C - NFC Enabled,STRING,96,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | Adam Salesforce Sites w/Backlog Field,[Vistar] Site capability flag: NFC Enabled. Indicates whether this capability is available at the site,,draft
Sellable,STRING,96,[TEST] Pluto - All Revenue and Diagnostics - Py | All GSTV - Ad Serving - Flexible - 2023/2024/2025 - Full Granularity | All GSTV - Combined SSP and Flex - 2023/2024/2025 - Full Granularity,Whether Inventory is sellable,,confluence
Schedulable,STRING,95,[TEST] Pluto - All Revenue and Diagnostics - Py | All GSTV - Ad Serving - Flexible - 2023/2024/2025 - Full Granularity | All GSTV - Combined SSP and Flex - 2023/2024/2025 - Full Granularity,Whether The screen can be scheduled for ad campaigns,,confluence
Average Daily Impressions,DOUBLE,93,4 digit sites | 5 digit sites | Active Wayne IOTV without IOTV ID - Stage 1,Average daily impressions metric for the site,,confluence
Data Cost,DOUBLE,93,[DNU] Daily Programmatic Exchange Revenue V2 | Ad Serving - Flexible - ICS Sites - November 2024 - February 2025 MTD | Advertisers No Longer Bidding,[Vistar] Cost associated with data/audience targeting for the ad placement,,confluence
Week Ending - PW,DATE,92,4 digit sites | 5 digit sites | Data Quality - Speedway Transactions using Store ID (Production ID),Week-ending date for the prior week (PW = Prior Week),,confluence
Week Ending - PY,DATE,92,4 digit sites | 5 digit sites | Data Quality - Speedway Transactions using Store ID (Production ID),Week-ending date for the prior year (PY = Prior Year),,confluence
NFC Installed,STRING,90,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Whether NFC (Near Field Communication) hardware is installed at the site,,confluence
NFC Type,STRING,88,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,"Type of NFC hardware installed (e.g., GCM1)",,confluence
African American Index,DOUBLE,86,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Demographic index for African American relative to the national average (100 = average),,draft
African American Percentage,DOUBLE,86,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Percentage of African American population in the site's trade area,,draft
Asian Index,DOUBLE,86,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Demographic index for Asian relative to the national average (100 = average),,draft
Hispanic Index,DOUBLE,86,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Demographic index for Hispanic relative to the national average (100 = average),,draft
Hispanic Percentage,DOUBLE,86,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Percentage of Hispanic population in the site's trade area,,draft
R - Restaurants - QSR,STRING,85,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Restaurants — QSR. Indicates whether the site allows this ad category,,draft
Bidder Name,STRING,85,[DNU] Daily Programmatic Exchange Revenue V2 | adhoc.csv | All GSTV - Combined SSP and Flex - 2023/2024/2025 - Full Granularity,[Vistar] Display name of the Bidder,,draft
R - Associations & NPO - Anti-Smoking,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Associations & NPO — Anti-Smoking. Indicates whether the site allows this ad category,,draft
R - Automotive - After Market - Oil,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Automotive — After Market — Oil. Indicates whether the site allows this ad category,,draft
R - CPG - Beverage - Beer - Video,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for CPG — Beverage — Beer — Video. Indicates whether the site allows this ad category,,draft
R - CPG - Beverage - Spirits - Video,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for CPG — Beverage — Spirits — Video. Indicates whether the site allows this ad category,,draft
R - CPG - Beverage - Wine - Video,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for CPG — Beverage — Wine — Video. Indicates whether the site allows this ad category,,draft
R - CPG - Non Food/Beverage - E-Cigarett,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for CPG — Non Food/Beverage — E-Cigarett. Indicates whether the site allows this ad category,,draft
R - Entertainment - Casinos and Gambling,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Entertainment — Casinos and Gambling. Indicates whether the site allows this ad category,,draft
R - Recruitment,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Recruitment. Indicates whether the site allows this ad category,,draft
R - Restaurants - CDR,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Restaurants — CDR. Indicates whether the site allows this ad category,,draft
R - Retail - Automotive Service,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Retail — Automotive Service. Indicates whether the site allows this ad category,,draft
R - Retail - Grocery,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Retail — Grocery. Indicates whether the site allows this ad category,,draft
R - Retail - Grocery with Fuel,STRING,84,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Retail — Grocery with Fuel. Indicates whether the site allows this ad category,,draft
C - Sells Lottery,STRING,83,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Site capability flag: Sells Lottery. Indicates whether this capability is available at the site,,draft
ID - Gilbarco Sales,STRING,83,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Gilbarco sales system identifier,,confluence
R - CPG - Beverage - Beer - OOH,STRING,83,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for CPG — Beverage — Beer — OOH. Indicates whether the site allows this ad category,,draft
R - CPG - Beverage - Spirits - OOH,STRING,83,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for CPG — Beverage — Spirits — OOH. Indicates whether the site allows this ad category,,draft
R - CPG - Beverage - Wine - OOH,STRING,83,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for CPG — Beverage — Wine — OOH. Indicates whether the site allows this ad category,,draft
OPP/IO Name,STRING,83,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Campaign Impact Analysis,Display name of the OPP/IO,,draft
C - Sells Beer,STRING,82,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Site capability flag: Sells Beer. Indicates whether this capability is available at the site,,draft
C - Sells Diesel Fuel,STRING,82,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Site capability flag: Sells Diesel Fuel. Indicates whether this capability is available at the site,,draft
C - Sells Wine,STRING,82,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Site capability flag: Sells Wine. Indicates whether this capability is available at the site,,draft
C - Open 24 Hours,STRING,81,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Site capability flag: Open 24 Hours. Indicates whether this capability is available at the site,,draft
C - Sells Spirits,STRING,81,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Site capability flag: Sells Spirits. Indicates whether this capability is available at the site,,draft
C - Walk Up Enabled,STRING,81,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Site capability flag: Walk Up Enabled. Indicates whether this capability is available at the site,,draft
R - Automotive - Electric,STRING,80,# Sites with RPA Creatives | After join check | Assembler Sites with Duplicate Partition Keys,[Vistar] Retailer advertising restriction flag for Automotive — Electric. Indicates whether the site allows this ad category,,draft
Data eCPM,LONG,80,adhoc.csv | Advertisers No Longer Bidding | All GSTV - SSP - August 2024,Effective cost per thousand impressions for the data/audience targeting component,,confluence
Asian Percentage,DOUBLE,79,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Percentage of Asian population in the site's trade area,,draft
Contract End Date,DATE,79,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | Adam Salesforce Sites w/Backlog Field,End date of the advertising/service contract,,draft
Hardware Screen Ratio,STRING,79,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,"Aspect ratio of the hardware screen (e.g., 4:03, 16:09)",,confluence
Hardware Screen Class,STRING,79,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,"Screen classification (e.g., 1080p)",,confluence
Data eCPM,DOUBLE,77,[DNU] Daily Programmatic Exchange Revenue V2 | Ad Serving - Flexible - ICS Sites - November 2024 - February 2025 MTD | All GSTV - Ad Serving - Flexible - 2023/2024/2025 - Full Granularity,[Vistar] Effective cost per thousand impressions for the data/audience targeting component,,confluence
Partition Key,STRING,76,4 digit sites | 5 digit sites | Data Quality - Speedway Transactions using Store ID (Production ID),[Comscore] Data partitioning key used for data pipeline processing,,draft
Data Cost,LONG,76,adhoc.csv | All GSTV - SSP - August 2024 | All GSTV - SSP - December 2024,Cost associated with data/audience targeting for the ad placement,,confluence
R - Alternative Transportation,STRING,75,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Alternative Transportation. Indicates whether the site allows this ad category,,draft
Retailer ID - Salesforce,STRING,74,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[SF: Site/Location] Salesforce retailer account ID,,confluence
R - Government - Political,STRING,74,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Retailer advertising restriction flag for Government — Political. Indicates whether the site allows this ad category,,draft
venue_id,STRING,74,[Pluto] Vistar Diagnostics - Fill Rate by Site - S3 Writeback Input | [Pluto] Vistar Diagnostics - Fill Rate by Site - S3 Writeback Input | BoradSign Site List,[Vistar] Unique identifier for a gas station venue/location (snake_case variant of Venue ID),,draft
Hardware Retrofit,LONG,73,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Whether Hardware retrofit status at the site,,confluence
TZ Name,STRING,73,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,"Human-readable timezone name (e.g., Eastern Daylight Time)",,confluence
TZ DST Offset,LONG,72,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,Timezone daylight saving time offset in seconds from UTC,,confluence
Address Quality,STRING,72,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,"Quality flag of address geocode (e.g., Rooftop, Approximate)",,confluence
Day of Week,LONG,70,4 digit sites | 5 digit sites | Data Quality - Speedway Transactions using Store ID (Production ID),"[Comscore] Day of the week (1=Monday through 7=Sunday, or 0=Sunday through 6=Saturday)",,draft
Average Household Income,DOUBLE,69,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,"[Vistar] Average household income in the site's trade area, from census data",,draft
DMA Rank,LONG,69,Data Quality - Market Plan - Programmatic - Sites Not In Vistar | Data Quality - Market Plan - Programmatic - Sites Not In Vistar | DXP Conversion Master List 053025.xlsx,Market size rank of the DMA (1 = largest),,confluence
