dataflow_id,dataflow_name,existing_description,suggested_description,source,owner
370,Copy of ETL - IO List v3,,"Copy of the ""ETL - IO List v3"" dataflow",inferred,Kayla Cekal
52,Copy of FlattenTI,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
225,Copy of Gilbarco April Outage Impact,,"Copy of the ""Gilbarco April Outage Impact"" dataflow",inferred,Abigail Kane
249,Copy of Historical Comscore Transaction Report - WIP,,Patches or backfills historical data for completeness,inferred,Kayla Cekal
232,Copy of Impressions by IO by DMA,,"Copy of the ""Impressions by IO by DMA"" dataflow",inferred,Abigail Kane
239,Copy of Impressions By IO By DMA Previous Month,,"Copy of the ""Impressions By IO By DMA Previous Month"" dataflow",inferred,Abigail Kane
671,Copy of Landmark Industries Rent Payment,,"Copy of the ""Landmark Industries Rent Payment"" dataflow",inferred,Kayla Cekal
498,Copy of Network Dashboard - Join NVIs to Site Data,For NVI 3.0,,existing,GSTV-Domo-Admin
192,Copy of OPP/IO Rev - Base Data Set,,"Copy of the ""OPP/IO Rev - Base Data Set"" dataflow",inferred,Aaron Olson
408,Copy of Partner Site List - Place Exchange - Clean Up,,"Copy of the ""Partner Site List - Place Exchange - Clean Up"" dataflow",inferred,Abigail Kane
189,Copy of Programmatic Ad Leases with Revenue,,Aggregates programmatic exchange revenue data,inferred,
639,Copy of Revenue Share - Network Partners - Live,,Calculates revenue share or commission allocations,inferred,Aaron Olson
419,Copy of Revenue Share - Retailer Campaigns,,Calculates revenue share or commission allocations,inferred,Abigail Kane
195,Copy of Revenue Share - Site/State,,Calculates revenue share or commission allocations,inferred,Abigail Kane
237,Copy of Revenue Share - Site/State,,Calculates revenue share or commission allocations,inferred,Abigail Kane
442,Copy of Revenue Share - Site/State,,Calculates revenue share or commission allocations,inferred,Abigail Kane
238,Copy of Revenue Share - Site/State - Configurable,,Calculates revenue share or commission allocations,inferred,Abigail Kane
676,Copy of Revenue Share - Unified TO BE DELETED,,Calculates revenue share or commission allocations,inferred,Kayla Cekal
400,Copy of RPA Conversion for Vistar - V2.0 - 4 Slots,,Converts RPA data to Vistar multi-slot scheduling format,inferred,Garrett Kohler
632,Copy of RPA Scheduling - Check for Asset Name in Nuxeo - MH,,Processes creative content scheduling data,inferred,GSTV-Domo-Admin
740,Copy of RPA Utilization - Tagged for migration,,"Copy of the ""RPA Utilization - Tagged for migration"" dataflow",inferred,GSTV-Domo-Admin
205,Copy of Site Status History - Base Data Set,,Processes site operational status data for tracking and reporting,inferred,Abigail Kane
496,Copy of Sites - Days With Proof of Play - Previous Month,,Processes Proof of Play data for ad delivery verification,inferred,Abigail Kane
286,Copy of Sites Reporting Plays - Delete after use,,"Copy of the ""Sites Reporting Plays - Delete after use"" dataflow",inferred,Abigail Kane
252,Copy of Speedway Rent Payment - Configurable,,Processes data specific to the Speedway retailer network,inferred,Kayla Cekal
467,Copy of Speedway Rent Payment - Configurable,,Processes data specific to the Speedway retailer network,inferred,GSTV-Domo-Admin
882,Copy of Speedway Rent Payment - Daily,,Processes data specific to the Speedway retailer network,inferred,Kayla Cekal
791,Copy of TEMP - Analysis - Transactions - YoY By Site By Day,,"Copy of the ""TEMP - Analysis - Transactions - YoY By Site By Day"" dataflow",inferred,Aaron Olson
18,Copy of Transactions and Plays,,"Copy of the ""Transactions and Plays"" dataflow",inferred,
75,Copy of Transactions-Historical,,Patches or backfills historical data for completeness,inferred,
647,Copy of Vistar - Hourly Impressions By Week / Weekly Operating Hours / Spot Rate - Full Network,,"Copy of the ""Vistar - Hourly Impressions By Week / Weekly Operating Hours / Spot Rate - Full Network"" dataflow",inferred,Aaron Olson
265,Copy of Vistar Campaign Migration,,"Copy of the ""Vistar Campaign Migration"" dataflow",inferred,Garrett Kohler
431,Copy of Vistar Programmatic Revenue,,Processes Vistar venue availability data for sell-through analysis,inferred,GSTV-Domo-Admin
132,Copy of Vistar Site List,,"Copy of the ""Vistar Site List"" dataflow",inferred,Aaron Olson
66,Count of Sites By TI,,,,
316,Count Rows of Snowflake Read,,,,Garrett Kohler
19,Covid Dataflow,,,,
20,Covid Ending April 1st Dataflow,,,,
4,Create Advertiser List,,,,Aaron Olson
857,Create IO Site List with Asset Spot Length,,,,GSTV-Domo-Admin
862,Creative_Plays_11072025,,Processes creative content scheduling data,inferred,Minu Sara Thomas
194,Current/Future Advertisements - Speedway Only,Weekly report for Speedway use,,existing,Adam Doughty
523,CVI dataset - Sriram - Problematic Campaigns - 10/18/2023 v3,,,,GSTV-Domo-Admin
538,Daily CVI impressions - Previous Month,,,,Kayla Cekal
656,Daily Programmatic Exchange Revenue (States A-I) - Deduplicate,,Aggregates programmatic exchange revenue data,inferred,GSTV-Domo-Admin
291,daily transaction comparison alert flow,,Compares transaction volumes across sources for data quality validation,inferred,
22,DanData,,,,
23,DanData_20200214,,,,
662,Data Quality - Salesforce and CVI  - Previous Month,,Processes Salesforce CRM data for integration with Domo reporting,inferred,Kayla Cekal
153,Data Quality - Salesforce and TIM IO Reconciliation - Previous Month,,Processes Salesforce CRM data for integration with Domo reporting,inferred,Aaron Olson
381,Data Quality - Salesforce and Vistar - Previous Month,,Processes Salesforce CRM data for integration with Domo reporting,inferred,Abigail Kane
188,Data Quality - Sites - Salesforce/Gbase Syncing,,Processes Salesforce CRM data for integration with Domo reporting,inferred,
292,Dataflow - Monitoring - Gilbarco Transactions Writeback to Snowflake,,Monitors data pipeline health from Snowflake transaction feeds,inferred,GSTV-Domo-Admin
331,Dataflow - Transaction + Plays - Unvalidated Network Impressions,,,,Garrett Kohler
327,Dataflow - Transactions - Monitoring - Historic,,,,GSTV-Domo-Admin
326,Dataflow - Transactions - Monitoring - Most Recent Day,,,,GSTV-Domo-Admin
328,Dataflow - Transactions - Monitoring - Most Recent Day - Gilbarco,,Processes transaction data for the specified network,inferred,GSTV-Domo-Admin
329,Dataflow - Transactions - Monitoring - Most Recent Day - Speedway,,Processes transaction data for the specified network,inferred,GSTV-Domo-Admin
516,Demo - Transaction Monitoring - Segment Networks,"Input is Snowflake Transaction Monitoring Connector. This creates three output datasets, one for each network.",,existing,GSTV-Domo-Admin
6,DenormalizeProofOfPlay,,Denormalizes Proof of Play records into a flat structure for reporting,inferred,GSTV-Domo-Admin
200,DenormalizeProofOfPlay Dec 2020,,Denormalizes Proof of Play records into a flat structure for reporting,inferred,
844,DEV Parse Gilbarco ICS Notifications,,,,Michael Girard
878,DEV_AssembleTransactions_Gilbarco,,Processes transaction data for the specified network,inferred,GSTV-Domo-Admin
877,DEV_AssembleTransactions_Speedway,,Processes transaction data for the specified network,inferred,GSTV-Domo-Admin
320,Development - ETL - Traffic Instructions - Data Engineering,Development ETL for processing Vistar BI files,,existing,Garrett Kohler
330,DF330 - Transactions - Monitoring - All Networks,Appends All Networks Most Recent Day to All Network Historical,,existing,Garrett Kohler
334,DF334 - DOMO_GOV_PDP - REC,,Domo governance dataflow for instance monitoring and credit tracking,inferred,
339,DF339 - Monitoring - Traffic Instructions - Daily Unique Site and Assets,,Monitoring pipeline tracking site/network operational health,inferred,Garrett Kohler
343,DF343 - VIEW - Sum_Plays_Monitoring_Play_Metrics |Date-Asset-Network | STG,,Monitoring pipeline tracking site/network operational health,inferred,
345,DF345 - View - Monitoring - Sites - Active Sites | INT - DF345,,Monitoring pipeline tracking site/network operational health,inferred,
346,DF346 - View - Monitoring Sites - Temp Deactivated Sites | INT,,Monitoring pipeline tracking site/network operational health,inferred,
347,DF347 - Monitoring - Salesforce Sites & Site Status History - Row Counts,,Monitoring pipeline tracking site/network operational health,inferred,
348,DF348 - Snowflake Writebacks - Daily & Prior Rows,,,,
349,DF349 - Wayne-Dover Live Transactions Hourly Input | REC,,Processes transaction data for the specified retail network,inferred,
350,DF350 - Gilbarco Live Transactions Hourly Input | REC,,Processes transaction data for the specified retail network,inferred,
351,DF351 - Speedway Live Transactions Hourly Input | REC,,Processes data specific to the Speedway retailer network,inferred,GSTV-Domo-Admin
352,DF352 - Monitoring - SF Opp-IO & Opportunities - Row Counts,,,,
360,DF360 - Transactions - Monitoring - Daily & Prior,,,,
362,DF362 - Transactions_Monitoring | All_Locations,,Aggregates transaction monitoring data across all networks for daily tracking,inferred,
363,DF363 - Transactions_Monitoring | Daily & Prior | By Location,,,,
364,DF364 - Snowflake Transaction Writebacks - Monitoring | PROD,,,,GSTV-Domo-Admin
366,DF366 - Traffic Instructions Monitoring - Site Count by Asset-Day,,Monitoring pipeline tracking site/network operational health,inferred,
589,DFS Weekly Reporting,NOC agenda data,,existing,Adam Doughty
469,DFx - Impression Multiplier - Using Unvalidated Transaction - Hourly,,Processes and validates ad impression data,inferred,GSTV-Domo-Admin
421,DFx - Monitoring - Daily Transactions - Gilbarco,Test Casting Nulls,,existing,GSTV-Domo-Admin
398,DFx - Monitoring - Snowflake - Sites Reporting Transactions,Daily Sites Reporting Transactions - All Networks,,existing,GSTV-Domo-Admin
402,DFx - Monitoring - Transactions,Daily Transactions - All Networks,,existing,Garrett Kohler
380,DFx - Patch - Transactions - May 2022 All Networkss,,Patches or backfills historical data for completeness,inferred,Garrett Kohler
474,DFx - Programmatic - Exchange Revenue - All Networks,,Aggregates programmatic exchange revenue data,inferred,GSTV-Domo-Admin
405,DFx - Revenue - Campaign Revenue by DMA,,,,Garrett Kohler
423,DFx - Site Status by Day - Salesforce Writeback,,Processes site operational status data for tracking and reporting,inferred,GSTV-Domo-Admin
414,DFx - Site Status by Month - Salesforce Retailers,,Processes site operational status data for tracking and reporting,inferred,Aaron Olson
434,DFx - Sites - Base Data Set - Programmatic Revenue Testing Sites Tagged,,Aggregates programmatic exchange revenue data,inferred,GSTV-Domo-Admin
418,DFx - Sites - Sell Through Calculations - V1,,"Calculates sell-through rates combining avails, scheduling, and revenue data",inferred,GSTV-Domo-Admin
424,DFx - Vistar - Direct Revenue - All DMAs - Daily,Append batched data from Vistar reports,,existing,GSTV-Domo-Admin
425,DFx - Vistar - Exchange Revenue - All DMAs - Daily,Append data from Vistar Exchange reports,,existing,GSTV-Domo-Admin
305,DFx Market Plan 2021,,,,Abigail Kane
449,DFx Market Plan 2022,,,,Abigail Kane
274,DFx Snowflake Task Monitoring by Day,,,,Garrett Kohler
828,Discover Daily SSP,,,,Antonio Bowens
302,domo - dataflow + MySql + MongoDb - bug fix,,,,Garrett Kohler
765,Domo Activity Log Automation,,,,GSTV-Domo-Admin
299,Domo daily site count last 20 days - sql,,,,
879,Domo Governance,,Domo governance dataflow for instance monitoring and credit tracking,inferred,GSTV-Domo-Admin
300,Domo Snowflake Writeback - All - Daily,,,,GSTV-Domo-Admin
262,Domo_Gov_Dataset_Usage_INT,,Domo governance dataflow for instance monitoring and credit tracking,inferred,GSTV-Domo-Admin
525,DomoStats - DataFlow and View Inputs - Map IDs to Name,,,,GSTV-Domo-Admin
571,Domostats - Dataflow Input Datasources with Names,,,,GSTV-Domo-Admin
572,Domostats - Dataflow Output Datasources with Names,,,,GSTV-Domo-Admin
168,DomoStats - DataFlows DataSets People and Health,DomoStats Official DataFlow,,existing,Aaron Olson
242,DomoStats - DataFlows DataSets People and Health,DomoStats Official DataFlow,,existing,GSTV-Domo-Admin
612,DomoStats - DataFlows DataSets People and Health,DomoStats Official DataFlow,,existing,GSTV-Domo-Admin
801,DomoStats - DataFlows DataSets People and Health,DomoStats Official DataFlow,,existing,GSTV-Domo-Admin
169,DomoStats - DataSet and DataFlow History with DataSet Names and Owners,DomoStats Official DataFlow,,existing,Aaron Olson
243,DomoStats - DataSet and DataFlow History with DataSet Names and Owners,DomoStats Official DataFlow,,existing,GSTV-Domo-Admin
613,DomoStats - DataSet and DataFlow History with DataSet Names and Owners,DomoStats Official DataFlow,,existing,GSTV-Domo-Admin
802,DomoStats - DataSet and DataFlow History with DataSet Names and Owners,DomoStats Official DataFlow,,existing,GSTV-Domo-Admin
170,DomoStats - DataSets with Owners,DomoStats Official DataFlow,,existing,Aaron Olson
244,DomoStats - DataSets with Owners,DomoStats Official DataFlow,,existing,GSTV-Domo-Admin
614,DomoStats - DataSets with Owners,DomoStats Official DataFlow,,existing,GSTV-Domo-Admin
803,DomoStats - DataSets with Owners,DomoStats Official DataFlow,,existing,GSTV-Domo-Admin
574,Domostats - View and Dataflow Inputs and Outputs,,,,GSTV-Domo-Admin
573,Domostats - View Input Datasources with Names,,,,GSTV-Domo-Admin
275,DomoStats People with Activity Log,,,,GSTV-Domo-Admin
638,DomoStats People with Activity Log,,,,GSTV-Domo-Admin
481,Dover - Transactions - Historic - Hourly,,Processes transaction data for the specified retail network,inferred,GSTV-Domo-Admin
476,Dover - Transactions - Live - Hourly,,Processes transaction data for the specified retail network,inferred,GSTV-Domo-Admin
580,Dover - Transactions - Live - Hourly,Transaction pipeline from Snowflake,,existing,GSTV-Domo-Admin
789,Dover DXPromote Pop + Site Status History,,Processes site operational status data for tracking and reporting,inferred,Bill Binkiewicz
164,DP Flatten TI - Retail Team,Modified TP Flatten TI for monthly retail team use,,existing,Adam Doughty
39,DP Flatten TI 202001,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
41,DP Flatten TI 202001,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
24,DP Flatten TI 202002,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
47,DP Flatten TI 202002,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
25,DP Flatten TI 202003,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
48,DP Flatten TI 202003,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
27,DP Flatten TI 202004,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
49,DP Flatten TI 202004,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
50,DP Flatten TI 202005,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
51,DP Flatten TI 202006,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
93,DP Flatten TI 202006 New,,Flattens traffic instruction data from nested format into a denormalized table,inferred,Garrett Kohler
60,DP Flatten TI 202007,,Flattens traffic instruction data from nested format into a denormalized table,inferred,Garrett Kohler
96,DP Flatten TI 202008 NEW,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
59,DP Flatten TI 202008+,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
110,DP Flatten TI 202009,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
122,DP Flatten TI 202010,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
124,DP Flatten TI 202010 CHECK,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
137,DP Flatten TI 20201009,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
115,DP Flatten TI VUSE,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
58,DP IO List for Rev Share,,,,
271,DS_DomoStats_Dataset_Execution_Error_History_INT,,,,GSTV-Domo-Admin
487,DS_DomoStats_DataSets_Mapped_To_UserNames,,,,Sriram Vepuri
298,Duplicate Location_Date_Hour - 20210430 Transaction Data,,,,Garrett Kohler
540,DXPromote Proof Of Play Delay Analysis,,Processes Proof of Play data for ad delivery verification,inferred,Aaron Olson
