dataset_id,dataset_name,existing_description,suggested_description,source,owner
3739eb68-8bd4-417f-bc56-f5ba0b225f1a,2026 YTD Revenue - Place Exchange.csv,,Uploaded CSV data file,inferred,GSTV-Domo-Admin
a3fa17e2-1382-4fd2-b7a2-6dbde1ca3469,28-Day Gilbarco Vistar Advertisements by hour of week,,Data from the Gilbarco ICS network,inferred,Michael Girard
23f8c7c5-548c-4106-aa77-396d48700093,4 digit sites,,Site subset filtered by GTVID digit count for legacy analysis,inferred,GSTV-Domo-Admin
cbb497ec-3f3f-4c4f-8c2e-5e777d750086,5 digit sites,,Site subset filtered by GTVID digit count for legacy analysis,inferred,GSTV-Domo-Admin
e94edea6-90e0-48b0-96f3-8ae67545ddf4,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots,,Converts RPA scheduling data to Vistar-compatible format for programmatic delivery,inferred,GSTV-Domo-Admin
f2918828-827e-4daf-8775-297dca100443,[DELETE] Select Distinct Advertisers Before Grouping,,,,GSTV-Domo-Admin
cf66f897-1553-48cf-90e6-1140e1851b73,[DEV] - Ad Ops - Programmatic Campaign Tracking,All opportunities and IOs from Salesforce,,existing,Antonio Bowens
95e0bc4e-0877-4171-9a84-3a59c4a19e92,[DEV] Ad Ops - Programmatic Opportunity Tracking,,Ad Operations data for campaign and site management,inferred,GSTV-Domo-Admin
05f5da74-b431-4e7b-9e12-070db586b5b0,[DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Export Dataset for Vistar,,existing,Al Minetola
9deb8d8a-a9ff-4d09-9367-c2dbc4e513b3,[DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Export Dataset for Vistar,,existing,GSTV-Domo-Admin
23b896a1-25bf-4d5b-bbd7-6bd8af912198,[DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Export Dataset for Vistar,,existing,Jim Borovsky
bf852834-f469-4637-8496-da7be548b107,[DNU] Daily Programmatic Exchange Revenue V2,,Programmatic exchange revenue from SSP partners,inferred,GSTV-Domo-Admin
accc1663-8df2-44b3-8066-cdc9e6d95eba,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,,Converts RPA scheduling data to Vistar-compatible format for programmatic delivery,inferred,Al Minetola
3e0ee262-f1bb-4534-bb02-a424a2582c39,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,,Converts RPA scheduling data to Vistar-compatible format for programmatic delivery,inferred,Jim Borovsky
9cedfc89-a304-41f3-bc39-1c52bd1ecf17,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,,Converts RPA scheduling data to Vistar-compatible format for programmatic delivery,inferred,GSTV-Domo-Admin
92a852b6-7426-46b4-8c1a-d24b2dcc3854,[Flag for Deletion] CA Tribal Council Pre-Processed RPA Schedule,,,,Al Minetola
abd0da44-46af-43b4-900a-3af7e4f78511,[Pluto] Vistar Diagnostics - Fill Rate by Site - S3 Writeback Input,,,,GSTV-Domo-Admin
7648af67-914d-443d-8dcc-db0194e50a22,[Pluto] Vistar Diagnostics - Fill Rate by Site - S3 Writeback Input,,,,GSTV-Domo-Admin
0ca6a87a-1197-4047-81d5-99ad855ced7e,[Production] Export - California Tribal Council - RPA Conversion,,,,Al Minetola
f97b7226-1fa2-4e0f-a337-dc80788be028,[Production] RPA Conversion 3.1 - 2 Line Items - Ad Ops,,Ad Operations data for campaign and site management,inferred,GSTV-Domo-Admin
f0bfe68e-fa5f-4c99-968d-bba298c1de39,[Production] RPA Conversion 3.1 - Wayne Daypart Splits,,,,Al Minetola
3e0fd17c-1f9d-496a-8615-77d6a404e35e,[TEMP] - RPA - Speedway Managed Service - IO Site Lists,,Insertion order data from the ad sales workflow,inferred,GSTV-Domo-Admin
4094861a-cfb2-4a05-8bf2-4dd5354bc6a0,[TEMP] [TEST - VEGAS] IO Site List - Test Data,,Insertion order data from the ad sales workflow,inferred,GSTV-Domo-Admin
77e0ae14-2f35-4340-b33f-b91a0d3465af,[TEMP] Vegas - Paid Ads Dataframe,,,,GSTV-Domo-Admin
0d7c9dfc-7177-418c-a39d-50f23ea9b6eb,[TEMP] Vegas - Paid Ads Dataframe,,,,GSTV-Domo-Admin
efcac41a-2f70-4e67-8365-aeb24c7123d1,[TEMP] Vegas - RPAs,,,,GSTV-Domo-Admin
6c790e34-8d58-46bd-beec-0e31f256aa33,[TEST - VEGAS] Managed Service Test IOs,Data to mimic a list of sites associated with an IO until a test IO is loaded to Vistar.,,existing,GSTV-Domo-Admin
f2ab47ef-c8ea-4fbd-a35a-303636378f41,[Test Casey's] IO Site List,,Insertion order data from the ad sales workflow,inferred,GSTV-Domo-Admin
a8ebfcca-8cfd-42fe-aa9d-870acc3dba75,[TEST] [VEGAS] RPA Header DF,,,,GSTV-Domo-Admin
75277a45-3282-4141-9604-3576b65b7535,[Test] Fix Vistar Venue Avails for Sell Through V2,,"Available programmatic ad inventory by Vistar venue, before sell-through deductions",inferred,GSTV-Domo-Admin
7f2b70a6-6d13-4fa1-ad58-a0fabcf273b6,[TEST] Pluto - All Revenue and Diagnostics - Py,,Combined programmatic revenue and diagnostic metrics (Pluto reporting framework),inferred,GSTV-Domo-Admin
4d00a20b-ac5b-4250-a42a-7dd55d04681b,[Test] RPS Scheduling - Salesforce - 2 Line Items,,,,GSTV-Domo-Admin
de21684d-b630-4a54-8997-6e507a59645c,[TEST] Vegas - Retailer Schedules - Base Data Set,,,,GSTV-Domo-Admin
b40e54a9-c52c-41d3-955b-dc80614f6bc0,[Testing] RPA Conversion 3.1 - Temporarily Deactivated Sites being Scheduled,,,,Al Minetola
8b81df29-f223-4574-ae7f-17c4be203afc,[Testing] RPA Conversion 3.1 - Wayne Daypart Splits - Duplicates,,,,Al Minetola
cc9b58d7-9861-4bc6-8715-f74fa487563d,[Troubleshooting] RPA Conversion - Morning Groupings,,,,Jim Borovsky
9363e9e9-8876-47df-acc9-609c0a7068de,[Troubleshooting] RPA Conversion - Morning Groupings,,,,GSTV-Domo-Admin
a06d46df-1302-4395-936a-57a0164fcb23,[Troubleshooting] State Farm Plays - Crawford 2FVX9BFNFAK,,Operational monitoring and data governance metrics,inferred,Aaron Olson
63b42328-2273-427f-8499-b5c901cb872d,[V-RAP-AND-DE] Development - Traffic Instructions,,"Traffic instruction data defining scheduled ad content, timing, and placement rules",inferred,GSTV-Domo-Admin
63fdcd69-a9ca-456b-abfe-439593920bf1,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023,,Campaign-level validated impression counts for ad delivery verification,inferred,GSTV-Domo-Admin
aabf6489-8733-4df8-810b-d82fee230180,Account History,,Salesforce account records for advertiser and agency management,inferred,Aaron Olson
6d64a688-9227-4170-9995-cc667d61e288,Accounts,,Salesforce account records for advertiser and agency management,inferred,Aaron Olson
dd3230f4-8733-4307-b89c-57a055ed909b,Accounts - Buying Agents,,,,GSTV-Domo-Admin
605595ea-577c-49bc-b19a-61a50bc134ed,ACS Walkability,,,,GSTV-Domo-Admin
fb88cedb-974e-4010-83cd-4d63b2e6842a,Active + Temp Retailer Sites Grouped,For Retailer Temp tracking,,existing,Adam Doughty
b30fe125-b147-4a9f-a3b5-e21e11c10f47,Active Site Counts by Network by Date,,"Active site counts by network, program, or date for trend analysis",inferred,Adam Doughty
4aa59af2-d6e2-4263-9571-5d38b38ba2ff,Active Site List (TPP),From Sites - Base Data Set,,existing,Hailee Mcfarland
80983923-4eba-4299-b7bf-928f50c68cd8,Active Sites by Network/Program Monthly,for Eric,,existing,Adam Doughty
9848ade6-b550-411e-af94-8a9996237745,Active Sites No POP 5 Days (not most recent 2) Stage 1,,Active sites without Proof of Play data for operational investigation,inferred,Adam Doughty
714bd299-46ee-43a5-87a7-83eba93b8d9e,Active Sites No POP 5 Days (not most recent 2) Stage 2,,Active sites without Proof of Play data for operational investigation,inferred,Adam Doughty
020b76d1-3667-4d3b-8a8e-5c759232082f,Active Wayne IOTV without IOTV ID - Stage 1,,Data specific to the Wayne IOTV network,inferred,Adam Doughty
23166112-51b3-4508-96cc-c38f0b71a339,Activity Log - Creations by Object,,Domo activity log tracking object-level usage events,inferred,GSTV-Domo-Admin
a15ba3c8-f4b5-46f3-b799-96f7ac3e9f76,Activity Log - Executions by Object,,Domo activity log tracking object-level usage events,inferred,GSTV-Domo-Admin
1f66fe7e-29b8-4d33-9e65-fbaed006169b,Activity Log - Object Views and Downloads by User,,Domo activity log tracking object-level usage events,inferred,GSTV-Domo-Admin
465dcf59-db59-4315-8392-2e2ad5f79371,Ad Ops - Campaigns - Launch Monitoring,,Ad Operations campaign launch monitoring for delivery tracking,inferred,GSTV-Domo-Admin
5552cf0d-996a-4f3d-a53f-2b344cf517b2,Ad Ops - Circle K Intro 090723,,Ad Operations data for campaign and site management,inferred,Al Minetola
323ac526-762a-443f-a382-10233385751f,Ad Ops - Conservative,,Ad Operations targeting segment data for campaign planning,inferred,Adam Doughty
74b4acd2-83ff-4885-9a35-663871703865,Ad Ops - Hispanic,,Ad Operations targeting segment data for campaign planning,inferred,Adam Doughty
de2c9106-7a83-47bd-9197-3e8aac174490,Ad Ops - Lease Rate - Vistar Insights,,Ad Operations data for campaign and site management,inferred,GSTV-Domo-Admin
0c69dbca-2ae8-4844-a87f-5d4b1e79c1a7,AD OPS - QSR Check,,Ad Operations targeting segment data for campaign planning,inferred,Antonio Bowens
3912449c-0405-4a74-a578-5a36597f7390,Ad Ops - Site Health Sorted,"Active + Temp sites sorted by longest Active, least time between current Active date and original Active date",,existing,Adam Doughty
3624ab51-d02d-4d54-aae3-ebb1040b1470,Ad Ops - Site POP Score (Last 60 Days) Stage 1,,Ad Operations site health/POP scoring for operational monitoring,inferred,Adam Doughty
e7dd28d7-3a9c-41a0-af24-473895f39cf5,Ad Ops - Sites Base Data Set,For creating Vistar Venue Group CSV Uploads,,existing,Adam Doughty
974d2a68-3d60-4025-aeb8-bddea5d6e546,Ad Ops - Static List Misc Sites That Will Not Play GSTV Bumper,,Ad Operations data for campaign and site management,inferred,Al Minetola
3d55828f-6d4f-4372-bd7a-6a9ab8543f7d,Ad Ops - Static List Misc Sites That Will Not Play GSTV Content,,Ad Operations data for campaign and site management,inferred,Al Minetola
daae590b-cc3f-4332-a2e5-3c0966aa1fc9,Ad Ops Monitoring - Vistar Diagnostics Insights,,Daily diagnostic data from Vistar for monitoring programmatic ad delivery health,inferred,GSTV-Domo-Admin
f5a68df9-ba16-4f20-9e68-2a1a5ee2ec7f,Ad Ops Monitoring - Vistar Diagnostics Insights,,Daily diagnostic data from Vistar for monitoring programmatic ad delivery health,inferred,GSTV-Domo-Admin
39e3e945-192a-4ef6-8bcc-bb2a44042dfd,Ad Serving - Flexible - ICS Sites - November 2024 - February 2025 MTD,,Proof of Play ad delivery verification data,inferred,Aaron Olson
b7961781-07b8-43d7-a2e6-5793955e9893,Adam Salesforce Sites w/Backlog Field,,Salesforce integration data for site or account syncing,inferred,Adam Doughty
b76d5bf6-d830-4238-a4a2-40c16a66ca4a,adhoc.csv,,Uploaded CSV data file,inferred,GSTV-Domo-Admin
054e2fd7-6275-4038-9a56-0e46e43d1fa0,Admin - Dataset Reference,,Administrative metadata about Domo datasets and dataflow relationships,inferred,GSTV-Domo-Admin
47a92a51-3d68-45db-a458-5b49ad6c5aa0,Admin - Datasets Reference - Column Details,Combines Domostats Dataset and Dataset Schema sets,,existing,GSTV-Domo-Admin
0c0bb712-1cd5-487d-acce-eaaac43ede57,Admin - Import Datasets,,Administrative metadata about Domo datasets and dataflow relationships,inferred,GSTV-Domo-Admin
d17a1caf-f690-4e06-8bed-47a45b5e39df,Admin - Ontology - Dataflow Inputs and Outs,,Administrative metadata about Domo datasets and dataflow relationships,inferred,GSTV-Domo-Admin
270d9142-4dcf-4a0b-be0c-db2a6d9c6727,Admin - Viewflow Inputs and Outputs,,Administrative metadata about Domo datasets and dataflow relationships,inferred,GSTV-Domo-Admin
bbbcf2b6-2c96-490c-8d5b-978604abda51,Advertiser Names - Last 6 Hours,,Advertiser reference data from the ad sales system,inferred,Antonio Bowens
2bf34e50-f828-449f-b18c-24223b4a39ec,Advertisers,,Advertiser reference data from the ad sales system,inferred,Aaron Olson
66267df8-b571-4786-af53-48b6d5af8ce1,Advertisers Bidding Today from Vistar Analytics,,Advertiser reference data from the ad sales system,inferred,Antonio Bowens
587432ba-8915-4345-a0ec-a6a2a7242785,Advertisers No Longer Bidding,,Advertiser reference data from the ad sales system,inferred,Antonio Bowens
ad75f956-8469-45ad-a327-d13a64d4205b,After join check,,,,Abigail Kane
17c6fd06-e55c-49a0-8327-8a1c6075a8cd,Agencies,,Agency reference data from the ad sales system,inferred,Aaron Olson
12ae8377-a1cc-4776-9b86-52a11cfaceb1,All GSTV - Ad Serving - Flexible - 2023/2024/2025 - Consolidated Granularity,,Consolidated flexible (managed) ad serving data at full granularity across all GSTV networks,inferred,Aaron Olson
54b21c18-529e-43d6-86b7-406c5af92f5e,All GSTV - Ad Serving - Flexible - 2023/2024/2025 - Full Granularity,,Consolidated flexible (managed) ad serving data at full granularity across all GSTV networks,inferred,Aaron Olson
1464815e-5194-47b8-a5c9-8a8ef946fec3,All GSTV - Ad Serving - Flexible - Q1 2025,,Consolidated flexible (managed) ad serving data across all GSTV networks,inferred,Aaron Olson
cf5aa835-b712-456c-bb78-8781668ee75d,All GSTV - Ad Serving - Flexible - Q3 2024,,Consolidated flexible (managed) ad serving data across all GSTV networks,inferred,Aaron Olson
5ee5b749-17c6-467f-a41b-508539609161,All GSTV - Ad Serving - Flexible - Q3 2024 Part 2,,Consolidated flexible (managed) ad serving data across all GSTV networks,inferred,Aaron Olson
6eaaf9f6-2b53-4049-a275-448518e80d1f,All GSTV - Ad Serving - Flexible - Q3 2024 Part I,,Consolidated flexible (managed) ad serving data across all GSTV networks,inferred,Aaron Olson
0f456468-c8cc-44fd-b59e-27b3cbd428c0,All GSTV - Combined SSP and Flex - 2023/2024/2025 - Full Granularity,,Consolidated data across all GSTV networks,inferred,GSTV-Domo-Admin
ccca89c7-4395-4bef-9a6f-fdf82e287a0b,All GSTV - Diagnostic Insights - 2023/2024/2025,,Consolidated diagnostic insights data across all GSTV networks,inferred,Aaron Olson
59ab7b60-cce1-4338-841a-79284ec9e670,All GSTV - Diagnostic Insights - Q1 2025,,Consolidated diagnostic insights data across all GSTV networks,inferred,Aaron Olson
5752e40a-24bc-4f8b-bd4c-f2f62617f895,All GSTV - Diagnostic Insights - Q3 2024,,Consolidated diagnostic insights data across all GSTV networks,inferred,Aaron Olson
76bbef08-53e6-46c8-a761-d4fbb22dc198,All GSTV - Diagnostic Insights - Q4 2024,,Consolidated diagnostic insights data across all GSTV networks,inferred,Aaron Olson
a695c29f-b2e3-4aef-8fa3-9464a799ad23,All GSTV - Flexible Revenue - April 2025 - Full Granularity,,Consolidated flexible (managed) revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
a025641d-beef-47f3-aff0-5dc15aeb759c,"All GSTV - Flexible Revenue - July 1 to July 15, 2025 - Full Granularity",,Consolidated flexible (managed) revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
251a72e4-e9c7-434e-a8ff-54b4dc7b6de7,All GSTV - Flexible Revenue - June 2025 - Full Granularity,,Consolidated flexible (managed) revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
b70c8195-21a4-4597-9e87-cb882e2c9649,All GSTV - Flexible Revenue - March 2025 - Full Granularity,,Consolidated flexible (managed) revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
aaf476b4-a798-48e7-9266-82a935f6e882,All GSTV - Flexible Revenue - March 2025 to July 15 2025 - Consolidated Granularity,,Consolidated flexible (managed) revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
976beef9-fca3-43db-9472-e6432807ffc7,All GSTV - Flexible Revenue - March 2025 to July 15 2025 - Full Granularity,,Consolidated flexible (managed) revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
22d486ce-42d6-4245-9848-101dd3cb2767,All GSTV - Flexible Revenue - May 2025 - Full Granularity,,Consolidated flexible (managed) revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
6b7f64ae-57b7-482f-84c9-ebe495a21ba1,All GSTV - Programmatic Perfomance - 2023/2024/2025,,Consolidated data across all GSTV networks,inferred,Aaron Olson
c8f3dc77-027a-4430-88be-03305caed688,All GSTV - SSP - 2023/2024/2025 - Consolidated Granularity,,Consolidated data across all GSTV networks,inferred,Aaron Olson
51447783-c0b8-4731-b788-e550297030c4,All GSTV - SSP - 2023/2024/2025 - Full Granularity,,Consolidated data across all GSTV networks,inferred,Aaron Olson
931fe7a2-031e-455d-a26e-b3989ddfc3f5,All GSTV - SSP - August 2024,,Consolidated data across all GSTV networks,inferred,Aaron Olson
42daaa42-5af3-4e14-9127-bf6e6fddd828,All GSTV - SSP - December 2024,,Consolidated data across all GSTV networks,inferred,Aaron Olson
14a07ee8-a2eb-4e5a-afa3-0c0e8fd5802d,All GSTV - SSP - February 2025,,Consolidated data across all GSTV networks,inferred,Aaron Olson
b6e73897-82d7-4f21-baab-4be67da15422,All GSTV - SSP - January 2025,,Consolidated data across all GSTV networks,inferred,Aaron Olson
dc068469-fc1e-46f8-b139-40f4932428ce,All GSTV - SSP - July 2024,,Consolidated data across all GSTV networks,inferred,Aaron Olson
d46c76be-59f3-4065-8c4c-322a1d34915d,All GSTV - SSP - March 2025 to July 15 2025 - Full Granularity,,Consolidated data across all GSTV networks,inferred,GSTV-Domo-Admin
95116166-9148-49e6-b8d4-a6a2f15f2a4c,"All GSTV - SSP - March 2025 to July 15, 2025 - Consolidated Granularity",,Consolidated data across all GSTV networks,inferred,GSTV-Domo-Admin
4135f43e-9eea-4b5c-a694-17fa6d750c07,All GSTV - SSP - November 2024,,Consolidated data across all GSTV networks,inferred,Aaron Olson
e2071cab-4fc8-4512-9aa2-5f6132b2f9ee,All GSTV - SSP - October 2024,,Consolidated data across all GSTV networks,inferred,Aaron Olson
9a7d8ee7-e3ca-4229-a48e-1e23bcd404b2,All GSTV - SSP - September 2024,,Consolidated data across all GSTV networks,inferred,Aaron Olson
6dbdef95-3796-4ad4-8277-a2f6e34d61b5,All GSTV - SSP Revenue - April 2025 - Full Granularity,,Consolidated SSP exchange revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
7ca3a62c-ed00-4e45-bd37-f31cb6e35e76,"All GSTV - SSP Revenue - July 1 to July 15, 2025 - Full Granularity",,Consolidated SSP exchange revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
c76365cd-7d6d-4c29-a080-d5c440cac381,All GSTV - SSP Revenue - June 2025 - Full Granularity,,Consolidated SSP exchange revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
5d1cc94a-3e3b-4e6a-b8ea-fb2d266b14bc,All GSTV - SSP Revenue - March 2025 - Full Granularity,,Consolidated SSP exchange revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
3117e243-6cab-4659-9517-a640a33310e6,All GSTV - SSP Revenue - May 2025 - Full Granularity,,Consolidated SSP exchange revenue at full granularity across all GSTV networks,inferred,GSTV-Domo-Admin
4efdc93a-6c26-4567-8ff2-61a77ac4741a,All GSTV - Vistar - Flexible Revenue - Full Granularity,,Vistar flexible (managed) revenue at full granularity,inferred,GSTV-Domo-Admin
7ee6d781-53d6-40a7-919b-a26be970185a,All GSTV - Vistar - SSP Revenue - Full Granularity,,Vistar SSP exchange revenue at full granularity,inferred,GSTV-Domo-Admin
4d39e920-cfe5-43e4-b44c-6b6828fff0c6,All Networks - Transactions - Patch - Input,,Fuel transaction data for site activity monitoring,inferred,GSTV-Domo-Admin
5e4c65cb-9eb4-41b7-aeaa-2348ac444dac,"All Networks - Transactions - Weekly - Current, WoW, and YoY",,Fuel transaction data for site activity monitoring,inferred,Aaron Olson
7983df40-f577-40f2-9881-ed286e68c361,All Sites with Week Ending Status,,Site and location reference data,inferred,Aaron Olson
ecf43d4f-1e74-459f-a66b-23c12048600f,Analysis - Account Ownership Impact on Pipeline,,One-off analytical dataset for investigation or reporting,inferred,Aaron Olson
fc27fb84-1f37-486f-b8a0-da95e58c65be,Analysis - Average Time Offline,,One-off analytical dataset for investigation or reporting,inferred,Aaron Olson
f82bb70c-daf4-42a0-a130-28974b7db6e3,Analysis - Programmatic Sell Through,,One-off analytical dataset for investigation or reporting,inferred,Aaron Olson
d600272d-6ebb-4039-89a4-4cfcec0adda1,Approvals: Test Template - Submit Personal Info,System dataset for approval template 0ed0bc35-7619-4f70-8d28-875f795ea0af: Test Template - Submit Personal Info,,existing,GSTV-Domo-Admin
4b46ea7a-3816-4473-b9ac-932e1f5d6330,Assembler Duplicate PartitionKey,,Data assembler pipeline output for transaction aggregation,inferred,GSTV-Domo-Admin
f3a6396b-027a-4ebe-9b2d-2c7288603eef,Assembler Sites with Duplicate Partition Keys,,Data assembler pipeline output for transaction aggregation,inferred,GSTV-Domo-Admin
b9ac7926-2121-454f-8e8a-f5b48414380f,Atlanta Study - Analytics,,,,Adam Doughty
03101637-0395-45aa-98f8-476bb297969f,Automated PoP - Write IOs to S3,,,,GSTV-Domo-Admin
8ffa87a9-82ff-43d1-9cc0-4f28403fb68d,Average Health Score,,Calculated site health score based on operational metrics,inferred,Aaron Olson
48df8196-0f96-4038-8c44-7c9ce4c2ea85,Average Health Score,,Calculated site health score based on operational metrics,inferred,GSTV-Domo-Admin
84cb11c1-c710-4f75-a457-f74f8cd939b0,Average Hourly Transactions With Source,,Fuel transaction data for site activity monitoring,inferred,Aaron Olson
13137397-f642-464c-a65c-f047e3c17486,Average Monthly Impressions,,Impression measurement data for ad delivery tracking,inferred,Kayla Cekal
0feb2c8d-1d8b-429c-816c-99587b99d777,BackToBack Programmatic Analysis,,Programmatic advertising data,inferred,GSTV-Domo-Admin
650ec6e1-5422-4bae-b2e7-eef8796fcc44,Booked and Pipeline History,Snapshot data of Rev Allocations from Salesforce - used for showing pipeline and bookings on a per rep per month basis,,existing,Aaron Olson
88d57797-2a7d-4bad-92e0-c248fe7c1ad4,BoradSign Site List,,Site and location reference data,inferred,Abigail Kane
be3e9b28-ba2d-4c42-b0f6-d57045934501,Brands,Brands from Gbase,,existing,Aaron Olson
c81f3c6c-f02c-44e4-86b4-be8a7515ce5b,Broadsign Revenue Previous Month,,Revenue data from the Broadsign programmatic exchange,inferred,Hailee Mcfarland
08cba130-116e-4245-a224-ab4d7a910d30,Broadway & Cardinal Weekly Report,,Weekly operational health report data,inferred,Adam Doughty
8d5f398a-7e07-46cf-a3e6-17221cbc8cdc,Brookshire Brothers Weekly Health Report,,Data specific to the Brookshire Brothers retailer network,inferred,Adam Doughty
d9184d54-e766-4192-95a8-d73706942c5c,CA Tribal Council Pre-Processed RPA Schedule by GTVID,,,,Al Minetola
87c4aa16-a411-4609-b0f4-93b7980a247b,CA Tribal Council Scheduling Template.xlsx,,Uploaded Excel spreadsheet data,inferred,GSTV-Domo-Admin
96259caf-9ff0-49a3-bedf-c368302e5315,Campaign Data - Mongo Writeback Input,,,,GSTV-Domo-Admin
9a7561fc-71c6-4f5c-8867-a3ce57f0eb11,Campaign Delivery - Production,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Aaron Olson
92fb99e3-c469-4223-9f53-108f3c577105,"Campaign Delivery Reporting - DMA Averages, NVI, and CVI",,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Nick Kaufmann
c0a3906c-3be6-4159-be7e-5e6b063e09a1,Campaign Delivery Reporting - Full Data Set - Filterable,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Hailee Mcfarland
57f3e247-0271-4111-9877-aac0baf5d742,Campaign Delivery Reporting - Full Data Set - Filterable,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Hailee Mcfarland
f18891de-24fc-4dac-a0c6-f563f32bb924,Campaign Delivery Reporting - Matched Records - Salesforce Integration - Filterable,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Hailee Mcfarland
3897c4e2-c97f-4014-916d-1dacb78a814d,Campaign Delivery Reporting - Matched Records - Salesforce Integration - Filterable,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Hailee Mcfarland
702e1458-f808-432e-aa59-225c6168a1b5,Campaign Delivery Reporting - Matched Records - Salesforce Integration - Previous Month,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Hailee Mcfarland
77d0ffad-6330-40c2-bc10-10b7860da933,Campaign Delivery Reporting - Salesforce Integration - Previous Month Full,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Hailee Mcfarland
67c3291e-df14-46e9-89c5-53d0992c1a1a,Campaign Delivery Reporting - Unmatched Records - Salesforce Integration - Filterable,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Hailee Mcfarland
e31a80f5-93aa-4b13-8ae2-8cd5e252ec27,Campaign Delivery Reporting - Unmatched Records - Salesforce Integration - Filterable,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Hailee Mcfarland
99c7a8ae-804b-4b0f-81d1-9e28b7ce88fc,Campaign Delivery Reporting - Unmatched Records - Salesforce Integration - Previous Month,,Campaign delivery tracking data for monitoring ad execution against plan,inferred,Hailee Mcfarland
244fc58c-b630-4331-bbdb-975bb1f4a734,Campaign Impact Analysis,,Campaign impact analysis measuring advertising effectiveness,inferred,Aaron Olson
eabd91ea-2e16-4bcd-8916-7182fe73b85a,Campaign Impact Analysis - by Day,,Campaign impact analysis measuring advertising effectiveness,inferred,Aaron Olson
6238f1de-c23b-4483-b5dd-b4a5ce38c9c5,Campaign Impact Analysis - Configuration,,Campaign impact analysis measuring advertising effectiveness,inferred,Aaron Olson
